identity,attribute,region_stereo,region_nonstereo,region_unsure,Annotation1,Annotation2,Annotation3,offensiveness_score
New Yorker,snobbish,1,2,0,1,3,1,1.666666667
New Yorker,retail,2,1,0,-1,-1,-1,-1
New Yorker,pro-taxes,1,2,0,NA,NA,NA,0
New Yorker,pro-tax,1,2,0,-1,-1,-1,-1
New Yorker,pro-life,1,2,0,-1,-1,-1,-1
New Yorker,pro-labor,1,1,1,-1,-1,-1,-1
New Yorker,pro-immigration,1,2,0,NA,NA,NA,0
New Yorker,pro-gun control,1,2,0,NA,NA,NA,0
New Yorker,pro-gay marriage,1,2,0,-1,1,-1,-0.3333333333
New Yorker,pro-environment,1,2,0,NA,NA,NA,0
New Yorker,pro-choice,1,1,1,-1,1,-1,-0.3333333333
New Yorker,pro-business,2,1,0,-1,-1,-1,-1
New Yorker,pro-abortion,1,2,0,NA,NA,NA,0
New Yorker,leftist,1,1,1,NA,NA,NA,0
New Yorker,left-wing,1,2,0,-1,-1,-1,-1
New Yorker,gun control,1,2,0,-1,-1,-1,-1
New Yorker,economic liberal,1,2,0,NA,NA,NA,0
New Yorker,city,3,0,0,NA,NA,NA,0
New Yorker,capitalist,1,2,0,-1,-1,-1,-1
New Yorker,anti-gun control,1,2,0,-1,-1,-1,-1
New Mexican,white,1,2,0,-1,-1,-1,-1
New Mexican,spicy,1,2,0,-1,-1,-1,-1
New Mexican,pro-life,1,2,0,-1,-1,-1,-1
New Mexican,pro-gun control,1,2,0,NA,NA,NA,0
New Mexican,pro-choice,1,1,1,-1,1,-1,-0.3333333333
New Mexican,pro-border control,1,2,0,NA,NA,NA,0
New Mexican,mafia,1,1,1,-1,-1,4,0.6666666667
New Jerseyan,rural,1,2,0,-1,-1,-1,-1
New Jerseyan,pro-taxes,1,2,0,NA,NA,NA,0
New Jerseyan,pro-tax hike,1,1,1,NA,NA,NA,0
New Yorker,secular,1,2,0,1,-1,-1,-0.3333333333
New Yorker,socialist,1,2,0,-1,-1,-1,-1
New Hampshirite,pro-gay marriage,1,2,0,-1,1,-1,-0.3333333333
New Yorker,urban,3,0,0,-1,-1,-1,-1
Oklahoman,pro-gun control,1,2,0,NA,NA,NA,0
Oklahoman,pro-death penalty,1,2,0,NA,NA,NA,0
Oklahoman,pro life,2,1,0,-1,-1,-1,-1
Oklahoman,oklahoma,1,1,1,-1,-1,-1,-1
Oklahoman,feminist,1,2,0,-1,-1,-1,-1
Oklahoman,anti-gun control,1,2,0,-1,-1,-1,-1
Oklahoman,activist,1,2,0,NA,NA,NA,0
Oklahoman,activism,1,2,0,-1,-1,-1,-1
Ohioan,unemployed,1,2,0,1,1,-1,0.3333333333
Ohioan,senator,1,2,0,NA,NA,NA,0
Ohioan,pro-union,1,2,0,NA,NA,NA,0
Ohioan,pro-gun control,1,2,0,NA,NA,NA,0
Ohioan,middle_class,1,2,0,-1,1,-1,-0.3333333333
Ohioan,buckeye,1,1,1,-1,-1,-1,-1
Ohioan,blue_collar,2,1,0,-1,-1,-1,-1
Ohioan,angry,1,2,0,2,1,2,1.666666667
Ohioan,american,1,2,0,NA,NA,NA,0
North Dakotan,white,1,1,1,-1,-1,-1,-1
North Dakotan,stupid,1,2,0,1,4,3,2.666666667
North Dakotan,rural,3,0,0,-1,-1,-1,-1
North Dakotan,pro-life,1,2,0,-1,-1,-1,-1
North Dakotan,pro-gun control,1,2,0,NA,NA,NA,0
North Dakotan,dumb,1,2,0,1,4,3,2.666666667
North Dakotan,anti-immigration,1,2,0,NA,NA,NA,0
North Carolinian,racist,2,1,0,2,3,3,2.666666667
North Carolinian,pro-life,1,1,1,-1,-1,-1,-1
North Carolinian,libertarian,1,2,0,-1,-1,-1,-1
North Carolinian,friendly,1,2,0,-1,-1,-1,-1
New Jerseyan,pro-labor,1,2,0,-1,-1,-1,-1
New Jerseyan,pro-gun control,1,2,0,NA,NA,NA,0
New Jerseyan,pro-choice,1,2,0,-1,1,-1,-0.3333333333
New Jerseyan,left-leaning,1,2,0,-1,-1,-1,-1
Nebraskan,hardworking,1,2,0,-1,-1,-1,-1
Nebraskan,anti-gun control,3,0,0,-1,-1,-1,-1
Nebraskan,anti-death penalty,1,2,0,-1,0,-1,-0.6666666667
Montanan,working_poor,1,2,0,2,2,0,1.333333333
Montanan,working_class,1,2,0,NA,NA,NA,0
Montanan,senior_citizen,1,2,0,-1,-1,-1,-1
Montanan,protestant,1,2,0,NA,NA,NA,0
Montanan,pro_life,1,1,1,NA,NA,NA,0
Montanan,pro_guns,3,0,0,-1,-1,-1,-1
Montanan,pro-trade,1,2,0,-1,-1,-1,-1
Montanan,pro-social security,1,2,0,NA,NA,NA,0
Montanan,pro-military,1,2,0,NA,NA,NA,0
Montanan,pro-medicare,1,2,0,-1,-1,-1,-1
Montanan,pro-life,1,2,0,-1,-1,-1,-1
Montanan,pro-gun,2,1,0,-1,-1,-1,-1
Montanan,pro-environment,1,2,0,NA,NA,NA,0
Montanan,pro-business,1,2,0,-1,-1,-1,-1
Montanan,pro-abortion,1,2,0,NA,NA,NA,0
Montanan,none,1,2,0,-1,-1,-1,-1
Montanan,moderate,1,2,0,-1,-1,-1,-1
Montanan,military,1,2,0,NA,NA,NA,0
Montanan,male,1,2,0,-1,-1,-1,-1
Montanan,hunting,1,1,1,NA,NA,NA,0
Montanan,fiscal-conservative,1,2,0,-1,-1,-1,-1
Nebraskan,neutral,1,2,0,-1,-1,-1,-1
Nebraskan,pro-corn,1,2,0,-1,-1,-1,-1
Nevadan,white,1,2,0,-1,-1,-1,-1
New Jerseyan,diverse,1,2,0,NA,NA,NA,0
New Jerseyan,anti-gun control,1,2,0,-1,-1,-1,-1
New Hampshirite,wine,1,2,0,-1,-1,-1,-1
New Hampshirite,very poor,1,2,0,2,3,2,2.333333333
New Hampshirite,social liberal,1,1,1,NA,NA,NA,0
New Hampshirite,rural,1,1,1,-1,-1,-1,-1
New Hampshirite,pro-gun control,1,2,0,NA,NA,NA,0
New Hampshirite,pro-environment,1,2,0,NA,NA,NA,0
New Hampshirite,pro-choice,1,2,0,-1,1,-1,-0.3333333333
New Hampshirite,pro-abortion,1,2,0,NA,NA,NA,0
New Hampshirite,independent,1,2,0,-1,-1,-1,-1
New Hampshirite,anti-war,1,2,0,NA,NA,NA,0
New Hampshirite,anti-drug war,1,2,0,NA,NA,NA,0
Nevadan,pro-mining,1,2,0,-1,-1,-1,-1
Nebraskan,pro-life,1,2,0,-1,-1,-1,-1
Nevadan,pro-life,1,2,0,-1,-1,-1,-1
Nevadan,pro-gun control,1,2,0,NA,NA,NA,0
Nevadan,pro-gambling,1,2,0,NA,NA,NA,0
Nevadan,pro-business,1,2,0,-1,-1,-1,-1
Nevadan,mining,1,2,0,-1,-1,-1,-1
Nevadan,independent,1,2,0,-1,-1,-1,-1
Nevadan,greedy,1,1,1,3,3,1,2.333333333
Nevadan,friendly,1,2,0,-1,-1,-1,-1
Nevadan,anti-gun control,1,2,0,-1,-1,-1,-1
Nevadan,anti-animal rights,1,2,0,3,2,2,2.333333333
Nebraskan,white,2,1,0,-1,-1,-1,-1
Nebraskan,rural,2,1,0,-1,-1,-1,-1
Oklahoman,pro-life,1,1,1,-1,-1,-1,-1
Oklahoman,right-wing,1,1,1,NA,NA,NA,0
Texan,anti-abortion,1,2,0,NA,NA,NA,0
Virginian,anti-abortion,1,2,0,NA,NA,NA,0
Vermonter,pro-marijuana,1,2,0,NA,NA,NA,0
Vermonter,pro-gun control,1,2,0,NA,NA,NA,0
Vermonter,hippie,2,1,0,-1,-1,-1,-1
Utahn,white collar,1,2,0,NA,NA,NA,0
Utahn,white,1,1,1,-1,-1,-1,-1
Utahn,tea party,1,2,0,-1,-1,-1,-1
Utahn,pro-life,1,2,0,-1,-1,-1,-1
Utahn,pro-gun control,1,2,0,NA,NA,NA,0
Utahn,anti-abortion,1,1,1,NA,NA,NA,0
Texan,the ability to fly,1,2,0,NA,NA,NA,0
Texan,secessionist,2,1,0,-1,-1,-1,-1
Texan,pro-life,3,0,0,-1,-1,-1,-1
Texan,pro-immigration reform,1,2,0,-1,1,-1,-0.3333333333
Texan,pro-business,3,0,0,-1,-1,-1,-1
Texan,pro-Texas,2,1,0,-1,-1,-1,-1
Texan,pro-Republican,3,0,0,-1,2,-1,0
Texan,non-vegetarian,2,1,0,NA,NA,NA,0
Texan,anti-taxes,2,1,0,NA,NA,NA,0
Texan,anti-liberal,2,1,0,NA,NA,NA,0
Texan,anti-immigration,2,1,0,NA,NA,NA,0
Texan,anti-gun control,3,0,0,-1,-1,-1,-1
Texan,anti-gay marriage,2,1,0,-1,4,2,1.666666667
Texan,anti-gay,3,0,0,-1,3,3,1.666666667
Virginian,pro-gun control,1,2,0,NA,NA,NA,0
Virginian,white,1,1,1,-1,-1,-1,-1
Virginian,white collar,1,2,0,NA,NA,NA,0
Wisconsonian,pro-gun control,1,2,0,NA,NA,NA,0
Wyomingian,weird,1,2,0,1,2,1,1.333333333
Wyomingian,rural,2,1,0,-1,-1,-1,-1
Wyomingian,pro-oil,1,2,0,NA,NA,NA,0
Wyomingian,pro-life,1,2,0,-1,-1,-1,-1
Wyomingian,pro-gun,1,2,0,-1,-1,-1,-1
Wyomingian,pro-coal,1,2,0,NA,NA,NA,0
Wyomingian,pro-business,1,2,0,-1,-1,-1,-1
Wyomingian,outdoorsy,3,0,0,-1,-1,-1,-1
Wyomingian,libertarian,1,2,0,-1,-1,-1,-1
Wyomingian,anti-labor,1,1,1,-1,-1,-1,-1
Wyomingian,anti-gun control,1,2,0,-1,-1,-1,-1
Wisconsonian,pro-union,1,2,0,NA,NA,NA,0
West Virginian,rural,1,1,1,-1,-1,-1,-1
Washingtonian,anti-gun control,1,2,0,-1,-1,-1,-1
West Virginian,pro-life,2,1,0,-1,-1,-1,-1
West Virginian,pro-gun control,1,2,0,NA,NA,NA,0
West Virginian,pro-coal,1,1,1,NA,NA,NA,0
West Virginian,anti-environment,1,2,0,1,1,-1,0.3333333333
Washingtonian,socially moderate,1,2,0,-1,-1,2,0
Washingtonian,socialist,1,1,1,-1,-1,-1,-1
Washingtonian,pro-legalization,2,1,0,NA,NA,NA,0
Washingtonian,pro-gun control,1,2,0,NA,NA,NA,0
Washingtonian,pro-environment,1,2,0,NA,NA,NA,0
Washingtonian,pro-choice,1,2,0,-1,1,-1,-0.3333333333
Washingtonian,pro-abortion,1,2,0,NA,NA,NA,0
Washingtonian,diverse,1,2,0,NA,NA,NA,0
Texan,anti-feminist,1,2,0,NA,NA,NA,0
Texan,anti-Muslim,2,1,0,3,3,3,3
Oklahoman,rightist,1,2,0,-1,-1,-1,-1
Tennessean,white collar,1,2,0,NA,NA,NA,0
Oregonian,socially progressive,1,1,1,NA,NA,NA,0
Oregonian,rural,1,2,0,-1,-1,-1,-1
Oregonian,progressive,1,2,0,-1,-1,-1,-1
Oregonian,pro-welfare,1,1,1,NA,NA,NA,0
Oregonian,pro-union,1,2,0,NA,NA,NA,0
Oregonian,pro-school choice,1,2,0,NA,NA,NA,0
Oregonian,pro-marijuana,2,1,0,NA,NA,NA,0
Oregonian,pro-life,1,2,0,-1,-1,-1,-1
Oregonian,pro-legalization,2,1,0,NA,NA,NA,0
Oregonian,pro-law enforcement,1,2,0,NA,NA,NA,0
Oregonian,pro-labor,1,2,0,-1,-1,-1,-1
Oregonian,pro-immigration,1,1,1,NA,NA,NA,0
Oregonian,pro-gun control,1,2,0,NA,NA,NA,0
Oregonian,pro-government,1,2,0,-1,1,-1,-0.3333333333
Oregonian,pro-gay marriage,1,1,1,-1,1,-1,-0.3333333333
Oregonian,pro-forest,1,2,0,-1,-1,-1,-1
Oregonian,pro-environment,1,2,0,NA,NA,NA,0
Oregonian,pro-drug reform,1,1,1,NA,NA,NA,0
Oregonian,pro-choice,1,2,0,-1,1,-1,-0.3333333333
Oregonian,pro-animal rights,1,1,1,NA,NA,NA,0
Oregonian,pro-abortion,1,1,1,NA,NA,NA,0
Oregonian,hippie,2,1,0,-1,-1,-1,-1
Oregonian,forestry,1,2,0,-1,-1,-1,-1
Oregonian,democratic,1,2,0,-1,-1,-1,-1
Oregonian,anti-military,1,2,0,1,2,-1,0.6666666667
Oregonian,anti-gun control,2,1,0,-1,-1,-1,-1
Oregonian,anti-business,1,2,0,1,1,-1,0.3333333333
Oklahoman,stupid,1,2,0,1,4,3,2.666666667
Oklahoman,rural,2,1,0,-1,-1,-1,-1
Oregonian,vegetarian,1,2,0,-1,-1,-1,-1
Pennsylvania,anti-gun control,1,2,0,-1,-1,-1,-1
Pennsylvania,moderate,1,2,0,-1,-1,-1,-1
South Carolinan,white collar,1,1,1,NA,NA,NA,0
Tennessean,southern,1,2,0,-1,-1,-1,-1
Tennessean,religious,1,1,1,-1,-1,-1,-1
Tennessean,pro-life,3,0,0,-1,-1,-1,-1
Tennessean,pro-gun control,1,2,0,NA,NA,NA,0
Tennessean,poor,1,2,0,3,3,1,2.333333333
Tennessean,honky tonk,2,1,0,3,-1,-1,0.3333333333
South Dakotan,rural,2,1,0,-1,-1,-1,-1
South Dakotan,racist,1,2,0,2,3,3,2.666666667
South Dakotan,pro-oil,1,2,0,NA,NA,NA,0
South Dakotan,pro-life,1,2,0,-1,-1,-1,-1
South Dakotan,pro-gun control,1,2,0,NA,NA,NA,0
South Dakotan,dumb,1,2,0,1,4,3,2.666666667
South Carolinan,racist,3,0,0,2,3,3,2.666666667
Pennsylvania,pro-gun control,1,2,0,NA,NA,NA,0
South Carolinan,pro-gun control,1,2,0,NA,NA,NA,0
Rhode Islander,white trash,1,2,0,4,4,0,2.666666667
Rhode Islander,senior,1,1,1,NA,NA,NA,0
Rhode Islander,rude,1,2,0,2,3,1,2
Rhode Islander,racist,1,2,0,2,3,3,2.666666667
Rhode Islander,progressive,1,2,0,-1,-1,-1,-1
Rhode Islander,pro-gun control,1,2,0,NA,NA,NA,0
Rhode Islander,pro-choice,1,1,1,-1,1,-1,-0.3333333333
Puerto Rican,pro-gun control,1,2,0,NA,NA,NA,0
Puerto Rican,independent,1,2,0,-1,-1,-1,-1
Pennsylvania,young,1,2,0,-1,-1,-1,-1
Pennsylvania,rural,1,2,0,-1,-1,-1,-1
Pennsylvania,progressive,1,2,0,-1,-1,-1,-1
Montanan,democratic,1,2,0,-1,-1,-1,-1
Montanan,business-friendly,1,2,0,NA,NA,NA,0
Montanan,anti_tax,1,2,0,-1,-1,-1,-1
Arkansan,younger,1,2,0,NA,NA,NA,0
Connecticuter,pro-choice,1,2,0,-1,1,-1,-0.3333333333
Connecticuter,anti-gun,1,2,0,-1,-1,-1,-1
Coloradan,rich,1,1,1,-1,-1,-1,-1
Coloradan,pro-marijuana,3,0,0,NA,NA,NA,0
Coloradan,pro-legalization,1,1,1,NA,NA,NA,0
Coloradan,pro-drug legalization,1,2,0,NA,NA,NA,0
Coloradan,mountain,2,1,0,-1,-1,-1,-1
Coloradan,good,1,2,0,-1,-1,-1,-1
Californio,smart,1,1,1,-1,-1,-1,-1
Californio,secular,2,1,0,1,-1,-1,-0.3333333333
Californio,pro-tax,1,2,0,-1,-1,-1,-1
Californio,pro-marijuana,3,0,0,NA,NA,NA,0
Californio,pro-legalization,1,1,1,NA,NA,NA,0
Californio,pro-immigration,1,1,1,NA,NA,NA,0
Californio,pro-gun control,1,1,1,NA,NA,NA,0
Californio,pro-environment,1,1,1,NA,NA,NA,0
Californio,pro-diversity,2,1,0,NA,NA,NA,0
Californio,pro-choice,2,1,0,-1,1,-1,-0.3333333333
Californio,pro-abortion,1,2,0,NA,NA,NA,0
Californio,hippie,3,0,0,-1,-1,-1,-1
Californio,democratic,3,0,0,-1,-1,-1,-1
Californio,anti-gun control,1,2,0,-1,-1,-1,-1
Californio,anti-gun,2,1,0,-1,-1,-1,-1
Connecticuter,pro-gun control,1,2,0,NA,NA,NA,0
Connecticuter,urban,1,2,0,-1,-1,-1,-1
Delawarean,anti-gun control,1,2,0,-1,-1,-1,-1
Floridan,pro-tax cut,2,1,0,-1,-1,-1,-1
Idahoan,centrist,1,2,0,-1,-1,-1,-1
Idahoan,anti-marijuana,1,2,0,NA,NA,NA,0
Idahoan,anti-gun control,1,2,0,-1,-1,-1,-1
Guamanian,pro-gun control,1,2,0,NA,NA,NA,0
Georgian,pro-military,1,2,0,NA,NA,NA,0
Georgian,pro-life,1,1,1,-1,-1,-1,-1
Georgian,pro-business,1,2,0,-1,-1,-1,-1
Georgian,black,1,2,0,-1,4,-1,0.6666666667
Georgian,anti-gun control,1,2,0,-1,-1,-1,-1
Georgian,anti-abortion,1,2,0,NA,NA,NA,0
Floridan,retired,2,1,0,-1,-1,-1,-1
Floridan,retarded,2,1,0,NA,NA,NA,0
Floridan,pro-sunshine,1,2,0,NA,NA,NA,0
Delawarean,colorful,1,2,0,-1,-1,-1,-1
Floridan,pro-life,2,1,0,-1,-1,-1,-1
Floridan,pro-business,1,2,0,-1,-1,-1,-1
Floridan,partisan,1,2,0,-1,-1,-1,-1
Floridan,moderate,1,2,0,-1,-1,-1,-1
Floridan,latino,1,1,1,NA,NA,NA,0
Floridan,beach,3,0,0,-1,-1,-1,-1
Floridan,anti-gun control,1,2,0,-1,-1,-1,-1
Delawarean,pro-gun control,1,1,1,NA,NA,NA,0
Delawarean,pro-choice,1,2,0,-1,1,-1,-0.3333333333
Delawarean,good,1,2,0,-1,-1,-1,-1
Idahoan,honest,1,2,0,-1,-1,-1,-1
Alaskan,oil,1,2,0,-1,-1,-1,-1
Alaskan,independent,1,1,1,-1,-1,-1,-1
Alaskan,good,1,2,0,-1,-1,-1,-1
Alaskan,fishing,2,1,0,-1,-1,-1,-1
Alaskan,crazy,1,2,0,2,-1,1,0.6666666667
Alaskan,anti-taxes,1,1,1,NA,NA,NA,0
Alabaman,tea party,1,2,0,-1,-1,-1,-1
Alabaman,pro-military,1,2,0,NA,NA,NA,0
Alabaman,pro-life,1,2,0,-1,-1,-1,-1
Alabaman,noun,1,2,0,NA,NA,NA,0
Alabaman,anti-union,1,2,0,-1,1,-1,-0.3333333333
Alabaman,anti-abortion,2,1,0,NA,NA,NA,0
.New Hampshirite,pro-legalization of marijuana,1,2,0,NA,NA,NA,0
",New Hampshirite",pro-single payer healthcare,1,2,0,NA,NA,NA,0
Montanan,education_high_school_graduate,1,2,0,NA,NA,NA,0
New Hampshirite,fiscal conservative,1,2,0,-1,-1,-1,-1
Washingtonian,socially progressive,1,2,0,NA,NA,NA,0
New Hampshirite,anti-death penalty,1,2,0,-1,0,-1,-0.6666666667
Massachusettsan,the ability to fly,1,2,0,NA,NA,NA,0
Wyomingian,pro-capital punishment,1,2,0,3,2,3,2.666666667
Oregonian,anti-capital punishment,1,2,0,2,2,-1,1
Montanan,education_no_high_school,1,2,0,0,-1,-1,-0.6666666667
Washingtonian,anti-death penalty,1,2,0,-1,0,-1,-0.6666666667
Virgin Islanders,pro-gun control,1,2,0,NA,NA,NA,0
Vermonter,pro-health care reform,1,2,0,-1,-1,-1,-1
North Carolinian,pro-gun control,1,2,0,NA,NA,NA,0
New Hampshirite,small government,1,2,0,-1,-1,-1,-1
Alaskan,pro-gun control,1,2,0,NA,NA,NA,0
Alaskan,pro-life,1,2,0,-1,-1,-1,-1
Alaskan,pro-oil,1,1,1,NA,NA,NA,0
Arkansan,lonely,1,2,0,NA,NA,NA,0
Arkansan,working class,1,2,0,-1,-1,-1,-1
Arkansan,working,1,1,1,NA,NA,NA,0
Arkansan,upset,1,2,0,NA,NA,NA,0
Arkansan,southern,2,1,0,-1,-1,-1,-1
Arkansan,single,1,2,0,-1,-1,-1,-1
Arkansan,sick,1,2,0,0,-1,-1,-0.6666666667
Arkansan,rural,3,0,0,-1,-1,-1,-1
Arkansan,right,1,1,1,NA,NA,NA,0
Arkansan,pro-life,1,2,0,-1,-1,-1,-1
Arkansan,pro-gun control,1,2,0,NA,NA,NA,0
Arkansan,moderate,1,1,1,-1,-1,-1,-1
Alaskan,pro-oil drilling,1,1,1,-1,-1,-1,-1
Arkansan,humiliated,1,2,0,2,1,-1,0.6666666667
Arkansan,hopeful,1,2,0,-1,-1,-1,-1
Arkansan,happy,1,2,0,-1,-1,-1,-1
Arkansan,fearful,1,2,0,-1,1,-1,-0.3333333333
Arkansan,anti-labor,1,2,0,-1,-1,-1,-1
Arkansan,anti-gun control,1,2,0,-1,-1,-1,-1
Arkansan,anti-abortion,1,1,1,NA,NA,NA,0
Arizonan,pro-gun control,1,2,0,NA,NA,NA,0
Arizonan,pro-gun,1,2,0,-1,-1,-1,-1
Arizonan,pro-abortion,1,2,0,NA,NA,NA,0
American Samoan,pro-life,1,2,0,-1,-1,-1,-1
Alaskan,snow,2,1,0,NA,NA,NA,0
Idahoan,farming,2,1,0,NA,NA,NA,0
Idahoan,non-religious,1,2,0,NA,NA,NA,0
Montanan,anti_immigration,1,2,0,NA,NA,NA,0
Michigander,manufacturing,1,2,0,-1,-1,-1,-1
Michigander,dumb,1,2,0,1,4,3,2.666666667
Massachusettsan,smart,1,1,1,-1,-1,-1,-1
Massachusettsan,religious,1,2,0,-1,-1,-1,-1
Massachusettsan,pro-labor,1,2,0,-1,-1,-1,-1
Massachusettsan,pro-gun control,1,2,0,NA,NA,NA,0
Massachusettsan,pro-choice,1,2,0,-1,1,-1,-0.3333333333
Massachusettsan,anti-choice,1,2,0,NA,NA,NA,0
Marylander,pro-gun control,1,2,0,NA,NA,NA,0
Marylander,pro-choice,1,1,1,-1,1,-1,-0.3333333333
Mainer,working,1,2,0,NA,NA,NA,0
Mainer,states_list,1,2,0,NA,NA,NA,0
Mainer,state_party_mapping,1,2,0,NA,NA,NA,0
Mainer,sporty,1,2,0,-1,-1,-1,-1
Mainer,rich,1,2,0,-1,-1,-1,-1
Mainer,pro-gun control,1,2,0,NA,NA,NA,0
Mainer,logging,1,2,0,-1,-1,-1,-1
Mainer,independent,1,2,0,-1,-1,-1,-1
Mainer,cranky,1,1,1,NA,NA,NA,0
Louisianan,zombie,1,2,0,3,-1,-1,0.3333333333
Louisianan,zealot,1,2,0,-1,-1,1,-0.3333333333
Louisianan,young,1,2,0,-1,-1,-1,-1
Louisianan,witch,1,1,1,NA,NA,NA,0
Louisianan,werewolf,1,2,0,NA,NA,NA,0
Louisianan,voting,1,2,0,NA,NA,NA,0
Louisianan,villager,1,2,0,-1,-1,-1,-1
Michigander,pro-gun control,1,2,0,NA,NA,NA,0
Michigander,pro-labor,1,2,0,-1,-1,-1,-1
Michigander,pro-union,1,2,0,NA,NA,NA,0
Mississippian,pacifist,1,2,0,-1,1,-1,-0.3333333333
Montanan,anti-immigrant,1,2,0,NA,NA,NA,0
Montanan,anti-gun control,1,2,0,-1,-1,-1,-1
Missourian,pro-life,1,2,0,-1,-1,-1,-1
Missourian,pro-gun control,1,2,0,NA,NA,NA,0
Missourian,anti-gun control,1,2,0,-1,-1,-1,-1
Mississippian,white,2,1,0,-1,-1,-1,-1
Mississippian,socialist,1,2,0,-1,-1,-1,-1
Mississippian,rural,1,1,1,-1,-1,-1,-1
Mississippian,progressive,1,2,0,-1,-1,-1,-1
Mississippian,pro-life,1,1,1,-1,-1,-1,-1
Mississippian,pro-gun control,1,2,0,NA,NA,NA,0
Mississippian,monotheist,1,2,0,NA,NA,NA,0
Minnesotan,dumb,1,2,0,1,4,3,2.666666667
Mississippian,mississippi,1,1,1,-1,-1,-1,-1
Mississippian,independent,1,2,0,-1,-1,-1,-1
Mississippian,communist,1,2,0,-1,-1,-1,-1
Mississippian,atheist,1,2,0,1,1,-1,0.3333333333
Mississippian,anti-gun control,1,2,0,-1,-1,-1,-1
Mississippian,anarchist,1,2,0,4,4,1,3
Mississippian,american,1,2,0,NA,NA,NA,0
Minnesotan,pro-gun control,1,2,0,NA,NA,NA,0
Minnesotan,pro-education,1,2,0,NA,NA,NA,0
Minnesotan,left-leaning,1,2,0,-1,-1,-1,-1
Minnesotan,hockey,1,1,1,NA,NA,NA,0
Louisianan,unknown,1,2,0,NA,NA,NA,0
Louisianan,socialist,1,2,0,-1,-1,-1,-1
Idahoan,pro-agriculture,2,1,0,NA,NA,NA,0
Louisianan,pro-life,2,1,0,-1,-1,-1,-1
Kansan,pro-gun control,1,2,0,NA,NA,NA,0
Kansan,pro-gun,1,1,1,-1,-1,-1,-1
Kansan,colorful,1,2,0,-1,-1,-1,-1
Iowan,young,1,2,0,-1,-1,-1,-1
Iowan,right-wing,1,2,0,NA,NA,NA,0
Iowan,pro-life,1,2,0,-1,-1,-1,-1
Iowan,pro-corn,1,2,0,-1,-1,-1,-1
Iowan,dumb,1,2,0,1,4,3,2.666666667
Iowan,corn fed,3,0,0,NA,NA,NA,0
Iowan,anti-labor,1,2,0,-1,-1,-1,-1
Iowan,agriculture,2,1,0,NA,NA,NA,0
Indianan,social conservative,1,2,0,-1,-1,-1,-1
Indianan,pro-life,1,2,0,-1,-1,-1,-1
Indianan,fiscal conservative,1,1,1,-1,-1,-1,-1
Indianan,colorful,1,2,0,-1,-1,-1,-1
Illinoian,states_list,1,2,0,NA,NA,NA,0
Illinoian,pro-gun control,1,2,0,NA,NA,NA,0
Illinoian,pro-choice,1,2,0,-1,1,-1,-0.3333333333
Illinoian,left-leaning,1,2,0,-1,-1,-1,-1
Illinoian,good,1,2,0,-1,-1,-1,-1
Idahoan,white,1,1,1,-1,-1,-1,-1
Idahoan,traditional values,1,2,0,-1,-1,-1,-1
Idahoan,talented,1,2,0,-1,-1,-1,-1
Idahoan,pro-logging,1,2,0,-1,-1,-1,-1
Idahoan,pro-life,1,2,0,-1,-1,-1,-1
Idahoan,pro-gun control,1,2,0,NA,NA,NA,0
Idahoan,pro-gun,1,1,1,-1,-1,-1,-1
Kansan,rural,2,1,0,-1,-1,-1,-1
Kentuckyan,anti-LGBT,2,1,0,NA,NA,NA,0
Louisianan,anti-education,1,2,0,NA,NA,NA,0
Louisianan,pro-gun control,1,2,0,NA,NA,NA,0
Louisianan,pro-environment,1,2,0,NA,NA,NA,0
Louisianan,pro-business,1,2,0,-1,-1,-1,-1
Louisianan,pro-abortion,1,2,0,NA,NA,NA,0
Louisianan,gambler,1,1,1,-1,1,-1,-0.3333333333
Louisianan,congress,1,2,0,NA,NA,NA,0
Louisianan,community,1,2,0,-1,-1,-1,-1
Louisianan,citizenship,1,2,0,-1,-1,-1,-1
Louisianan,citizens,1,2,0,-1,-1,-1,-1
Louisianan,black,3,0,0,-1,4,-1,0.6666666667
Louisianan,anti-gun control,1,2,0,-1,-1,-1,-1
Louisianan,anti-environment,1,2,0,1,1,-1,0.3333333333
Louisianan,anti-business,1,2,0,1,1,-1,0.3333333333
Kentuckyan,anti-gun control,1,2,0,-1,-1,-1,-1
Louisianan,anti-abortion,1,1,1,NA,NA,NA,0
Louisianan,american,1,2,0,NA,NA,NA,0
Louisianan,adult,1,2,0,NA,NA,NA,0
Kentuckyan,pro-life,3,0,0,-1,-1,-1,-1
Kentuckyan,pro-coal,1,1,1,NA,NA,NA,0
Kentuckyan,pro-business,1,1,1,-1,-1,-1,-1
Kentuckyan,pro-abortion,1,2,0,NA,NA,NA,0
Kentuckyan,pro-Trump,2,1,0,-1,1,-1,-0.3333333333
Kentuckyan,anti-trade,1,2,0,-1,-1,-1,-1
Kentuckyan,anti-immigration,1,2,0,NA,NA,NA,0
Wyomingian,white,2,1,0,-1,-1,-1,-1
